round,client_id,client_name,epoch_1_loss,epoch_2_loss,epoch_3_loss,local_val_auc_roc,local_val_auc_pr,local_val_f1,local_val_mcc,client_time_seconds
7,5,Bacteria,0.6269241322460488,0.5920392789958436,0.5605001241091347,0.7588251328881014,0.6169280415734568,0.5831649831649832,0.3542076318508444,41.484614849090576
8,1,Coronavirus,0.4874136746339466,0.4698644061355171,0.46042168588402294,0.797247016094376,0.5198797730927284,0.5337517097111594,0.374911013210453,365.6088967323303
8,2,Parasite,0.3510302558230857,0.3134501098308626,0.29402647228810447,0.8847912758783386,0.45155312205068393,0.38294279079586235,0.38321040715860116,354.09461879730225
8,3,Human/Self,0.6106542647643247,0.5797182031866855,0.5583466535230326,0.738940872951342,0.548991013584639,0.5508045977011494,0.32849688241718283,69.21320104598999
8,4,Flavivirus,0.6473002787062664,0.6064741183195682,0.5726571639642021,0.724258443591817,0.6242169384914089,0.6100536847242557,0.32494058149281857,53.32877445220947
8,5,Bacteria,0.6277858601430807,0.5909547989751086,0.5564683900203233,0.7629400175945085,0.6135391000978538,0.5851063829787234,0.3560234918259659,42.83772373199463
9,1,Coronavirus,0.4805880296295876,0.4612626882592655,0.4527018965519862,0.8016771883129787,0.534537441118865,0.5468359121652924,0.38778332260732296,371.3502161502838
9,2,Parasite,0.34085838812179575,0.29993994610542934,0.27763733963388226,0.8831863585624361,0.45194634874582634,0.4204946996466431,0.40671205350003015,355.32961988449097
9,3,Human/Self,0.6107897494585459,0.5806403919182358,0.5569606986816299,0.7363531458781692,0.5503253189206632,0.5584477046852816,0.34501446261151614,67.61931657791138
9,4,Flavivirus,0.6442679285213647,0.6018853526044365,0.5688245821472825,0.7218059450686212,0.6198781605801734,0.5946808510638298,0.33616757809630726,52.202276945114136
9,5,Bacteria,0.6279926751376179,0.5910746198868064,0.558468411856718,0.7665884000148687,0.6327378784767073,0.567398119122257,0.3571584519249565,41.94915986061096
10,1,Coronavirus,0.47482014429011987,0.45523062532069375,0.4450914450433689,0.7986217983374228,0.5232980144604171,0.5459615205874152,0.38642722350681946,401.7125618457794
10,2,Parasite,0.3284198555178478,0.2862671319893453,0.26991181932534125,0.879483785401107,0.4292636628307426,0.37112561174551384,0.37226861200533273,351.77278184890747
10,3,Human/Self,0.6106743183906448,0.5780939542458561,0.555029839239351,0.7375886524822696,0.55320322623212,0.5598253275109171,0.3356538167093085,67.61076712608337
10,4,Flavivirus,0.6493045709385777,0.6041432659554955,0.5677516271933815,0.7271898281172038,0.6226656187188798,0.5854177754124534,0.3212301508715403,51.763834953308105
10,5,Bacteria,0.628684353190685,0.5891127686932254,0.5611870115921821,0.7619462995774839,0.608126288785844,0.5796897038081805,0.35491216887621724,42.203147888183594
11,1,Coronavirus,0.46859335093515714,0.44799087172686564,0.43975320213929325,0.7942947169968255,0.5185131130311871,0.539631418858472,0.3775711652705718,363.301926612854
11,2,Parasite,0.3209973602996085,0.27565413405541184,0.25826758656889026,0.8809557291966351,0.45712864971367406,0.42668735453840184,0.4113148024707376,350.1123058795929
11,3,Human/Self,0.610166218596257,0.5785790326182776,0.5553399642915217,0.7324144191922521,0.5402302880143798,0.5509921550530688,0.3293802324993617,66.99207425117493
11,4,Flavivirus,0.6449602599570293,0.6013932564598046,0.5668220228904131,0.7287107213112874,0.6310149667776095,0.6201405152224825,0.3276991302714997,57.28834819793701
11,5,Bacteria,0.6329721693148829,0.5880222316877342,0.5523441199657848,0.7655358271277585,0.6154436214229329,0.5954098360655737,0.3721466736316735,42.20916485786438
