round,client_id,client_name,epoch_1_loss,epoch_2_loss,epoch_3_loss,local_val_auc_roc,local_val_auc_pr,local_val_f1,local_val_mcc,client_time_seconds
9,1,Coronavirus,0.48531651042067164,0.46795897647451634,0.4595210179754838,0.8069695717870163,0.5424502190353481,0.5492929292929293,0.3924406827941624,365.43026471138
9,2,Parasite,0.3445793366305126,0.3047443966186324,0.28469222608607175,0.8857652738299364,0.44213284662165286,0.39820627802690584,0.394592471663948,350.1999592781067
9,3,Human/Self,0.6092299279820828,0.5793375948458227,0.5569038216697654,0.737906563470123,0.5572030601516629,0.5533934504034171,0.33782055575928643,66.96266889572144
9,4,Flavivirus,0.6440727148229712,0.6013338587536717,0.5673530435325295,0.7185964052006447,0.6344354776161081,0.6219673577415086,0.3117630542801502,50.61303448677063
9,5,Bacteria,0.6277537473435264,0.589021358347724,0.5580719173445132,0.7686235394699344,0.6159015647888649,0.5988455988455988,0.3888105870940069,41.432087898254395
10,1,Coronavirus,0.4794408739924322,0.4616148963119872,0.4528045113702961,0.8022639884294236,0.5305083593615318,0.5448625180897251,0.38530087142393366,364.7027826309204
10,2,Parasite,0.33311047022729073,0.2904925130942995,0.27468275116005725,0.8882817588639423,0.4547168722563677,0.41476604749588525,0.409300158755026,345.48564171791077
10,3,Human/Self,0.6130145970949993,0.5794047036092094,0.5597291095111206,0.7422244881315673,0.5637122482179849,0.5563843791136464,0.3306865799251628,66.40948987007141
10,4,Flavivirus,0.6457980170549936,0.6015391062624407,0.5669796522089977,0.7140978877399449,0.6319633394922509,0.5970987365465606,0.28566762678374513,51.18903565406799
10,5,Bacteria,0.6248113252989058,0.585776079951981,0.5531060477343116,0.7748943709963201,0.6322856099169832,0.600828729281768,0.38615001429496554,43.338611125946045
11,1,Coronavirus,0.47300181935321944,0.453772561865373,0.44598994799484143,0.8020576495649483,0.5368840018871668,0.5466546112115732,0.38805833919733135,367.01098012924194
11,2,Parasite,0.3212382156625679,0.27846933439799926,0.25882272373220716,0.8875863953876427,0.43993896148462686,0.4079098643366291,0.40365312032127454,347.41639018058777
11,3,Human/Self,0.6145700483225077,0.5793570459799002,0.5571486947645667,0.7366395587727562,0.5505589603799621,0.5640584694754944,0.34084981337332987,66.80325388908386
11,4,Flavivirus,0.643433263562373,0.5978827044269107,0.5601454026849064,0.7186107431049018,0.6335323252556477,0.6115627822944896,0.29952227209719556,51.31383395195007
11,5,Bacteria,0.6268425623085273,0.5862562328944971,0.5568192601203918,0.7733901644219212,0.6243981258485332,0.5972720746590093,0.3855714594061841,41.74276566505432
12,1,Coronavirus,0.46836568805791173,0.44818609343768256,0.4395370317518875,0.7973348489679359,0.523524700477541,0.5420240137221269,0.3805289058107817,369.7942702770233
12,2,Parasite,0.31428533312756307,0.26895098361121705,0.2512682744485954,0.8824156472605498,0.4368167316626492,0.41728395061728396,0.4055889478620996,348.27914810180664
12,3,Human/Self,0.6113556828965971,0.5760094090424118,0.5552573757999726,0.7366051306243019,0.552047857110232,0.5581617999042604,0.34657042080112765,66.74824953079224
12,4,Flavivirus,0.6415722328700767,0.5962621584435962,0.5596171388562942,0.7156729065225994,0.6276287325662974,0.590796635329045,0.297172652777359,51.8918354511261
12,5,Bacteria,0.624989434647462,0.5834009315006037,0.552144032079006,0.7642397809359782,0.6178014394959835,0.5923482849604221,0.3674512266429906,41.40452480316162
13,1,Coronavirus,0.4642145624409893,0.4430743990607703,0.43415031809527105,0.8014555359940114,0.5300871327219469,0.5468943803072226,0.3877289047520579,372.8418526649475
13,2,Parasite,0.30356974264448006,0.2586507779426959,0.24259634322645648,0.8791237614647225,0.4278361309644282,0.3930895221000673,0.3876722845754206,346.10483264923096
13,3,Human/Self,0.6090886799130427,0.5761731988904434,0.5528243253097582,0.7373015070738858,0.5501887213805531,0.5640577175338872,0.342630729900739,67.20410060882568
13,4,Flavivirus,0.6454388467681329,0.5978692877568946,0.5633669934722761,0.711069005465609,0.6209622824818388,0.6116550116550117,0.3106771955912885,51.212268352508545
